X;Y;Z;
549000;6190600;2.675107e+01;
549100;6190600;2.361185e+01;
549200;6190600;2.084729e+01;
549300;6190600;1.572406e+01;
549400;6190600;1.704589e+01;
549500;6190600;1.437375e+01;
549600;6190600;9.257041e+00;
549700;6190600;2.363711e+00;
549800;6190600;1.865601e+00;
549900;6190600;1.029294e+01;
550000;6190600;1.050768e+01;
550100;6190600;1.178629e+01;
550200;6190600;1.420245e+01;
550300;6190600;1.297860e+01;
550400;6190600;1.085247e+01;
550500;6190600;1.187701e+01;
550600;6190600;9.485375e+00;
550700;6190600;4.599551e+00;
550800;6190600;-2.800541e-01;
550900;6190600;3.310164e+00;
551000;6190600;5.009320e+00;
551100;6190600;-3.977625e+00;
551200;6190600;-1.110866e+01;
551300;6190600;-8.774910e+00;
551400;6190600;-1.854089e+00;
551500;6190600;5.466703e+00;
551600;6190600;6.382782e+00;
551700;6190600;1.259161e+00;
551800;6190600;3.599419e+00;
551900;6190600;9.472223e+00;
552000;6190600;1.658965e+00;
552100;6190600;-6.849207e+00;
552200;6190600;-2.624742e+00;
552300;6190600;8.364506e-02;
552400;6190600;-4.149032e+00;
552500;6190600;-9.708205e+00;
552600;6190600;-1.410209e+01;
552700;6190600;-1.386599e+01;
552800;6190600;-9.585213e+00;
552900;6190600;-1.746596e+00;
553000;6190600;-4.127594e+00;
553100;6190600;-1.417040e+01;
553200;6190600;-1.051167e+01;
553300;6190600;-4.949657e+00;
553400;6190600;-8.524496e+00;
553500;6190600;-1.707079e+01;
553600;6190600;-1.644800e+01;
553700;6190600;-1.500254e+01;
553800;6190600;-1.628636e+01;
553900;6190600;-1.767501e+01;
554000;6190600;-1.591975e+01;
554100;6190600;-1.469978e+01;
554200;6190600;-1.585420e+01;
554300;6190600;-1.397261e+01;
554400;6190600;-8.926954e+00;
554500;6190600;-5.565857e+00;
554600;6190600;2.908600e-01;
554700;6190600;8.691000e-02;
554800;6190600;-4.553547e+00;
554900;6190600;-7.318340e+00;
555000;6190600;-7.080053e+00;
555100;6190600;-8.052015e+00;
555200;6190600;-4.976584e+00;
555300;6190600;-3.023433e+00;
555400;6190600;-1.980567e+00;
555500;6190600;-1.334776e+00;
555600;6190600;0;
555700;6190600;-7.146231e-01;
555800;6190600;-6.623034e+00;
555900;6190600;-7.854269e+00;
556000;6190600;-7.526097e+00;
556100;6190600;-1.547342e+01;
556200;6190600;-1.754621e+01;
556300;6190600;-7.873350e+00;
556400;6190600;-5.836505e+00;
556500;6190600;-7.435863e+00;
556600;6190600;-5.514867e+00;
556700;6190600;-2.422425e+00;
556800;6190600;-2.320951e+00;
556900;6190600;0;
557000;6190600;-1.291458e+00;
557100;6190600;-8.366810e+00;
557200;6190600;-1.146107e+01;
557300;6190600;-1.311338e+01;
557400;6190600;-1.274499e+01;
557500;6190600;-1.249968e+01;
557600;6190600;-5.261122e+00;
557700;6190600;-4.831310e+00;
557800;6190600;-6.090062e+00;
557900;6190600;-4.306579e+00;
558000;6190600;-1.864194e+00;
558100;6190600;0;
558200;6190600;0;
558300;6190600;-3.522217e+00;
558400;6190600;-1.542211e+01;
558500;6190600;-1.682679e+01;
558600;6190600;-1.449259e+01;
558700;6190600;-1.124837e+01;
558800;6190600;-1.463330e+00;
558900;6190600;0;
559000;6190600;0;
559100;6190600;-2.794956e+00;
559200;6190600;-5.970102e+00;
559300;6190600;-7.181121e+00;
559400;6190600;-6.633955e+00;
559500;6190600;-6.425894e+00;
559600;6190600;-7.608589e+00;
559700;6190600;-6.751115e+00;
559800;6190600;-2.332576e+00;
559900;6190600;-1.225242e+01;
560000;6190600;-8.698186e+00;
560100;6190600;-1.957887e+01;
560200;6190600;-1.985475e+01;
560300;6190600;-1.778089e+01;
560400;6190600;-1.515548e+01;
560500;6190600;-1.385716e+01;
560600;6190600;-1.113656e+01;
560700;6190600;-2.172066e+00;
560800;6190600;-7.432302e+00;
560900;6190600;-2.068405e+00;
561000;6190600;0;
549000;6190700;1.725910e+01;
549100;6190700;1.596313e+01;
549200;6190700;1.532088e+01;
549300;6190700;1.460907e+01;
549400;6190700;1.568057e+01;
549500;6190700;8.652838e+00;
549600;6190700;1.722270e+00;
549700;6190700;-2.636352e-01;
549800;6190700;6.003444e+00;
549900;6190700;1.596327e+01;
550000;6190700;1.670237e+01;
550100;6190700;1.533229e+01;
550200;6190700;1.094168e+01;
550300;6190700;1.147008e+01;
550400;6190700;1.344057e+01;
550500;6190700;1.317131e+01;
550600;6190700;9.286294e+00;
550700;6190700;3.108845e+00;
550800;6190700;2.937945e+00;
550900;6190700;7.334885e+00;
551000;6190700;8.221002e+00;
551100;6190700;1.270045e+00;
551200;6190700;-4.140515e+00;
551300;6190700;-1.855316e+00;
551400;6190700;2.143699e+00;
551500;6190700;4.804090e+00;
551600;6190700;1.926944e+00;
551700;6190700;-4.505638e+00;
551800;6190700;1.319301e+00;
551900;6190700;-2.947744e+00;
552000;6190700;-5.783380e+00;
552100;6190700;-5.908274e+00;
552200;6190700;-5.265737e+00;
552300;6190700;-8.462622e-02;
552400;6190700;-1.483817e+00;
552500;6190700;-9.190530e+00;
552600;6190700;-1.019333e+01;
552700;6190700;-9.850588e+00;
552800;6190700;-7.838621e+00;
552900;6190700;-2.396669e+00;
553000;6190700;1.317961e-01;
553100;6190700;-3.939550e+00;
553200;6190700;-4.760677e+00;
553300;6190700;4.456723e-01;
553400;6190700;-8.632982e+00;
553500;6190700;-1.761691e+01;
553600;6190700;-1.528709e+01;
553700;6190700;-1.109174e+01;
553800;6190700;-1.090217e+01;
553900;6190700;-1.266133e+01;
554000;6190700;-1.635505e+01;
554100;6190700;-1.908621e+01;
554200;6190700;-1.940281e+01;
554300;6190700;-1.640128e+01;
554400;6190700;-8.659495e+00;
554500;6190700;-5.296618e+00;
554600;6190700;-7.300944e-01;
554700;6190700;-7.668657e-01;
554800;6190700;-6.844471e+00;
554900;6190700;-8.922614e+00;
555000;6190700;-7.775319e+00;
555100;6190700;-4.314733e+00;
555200;6190700;-3.264728e+00;
555300;6190700;-2.059965e+00;
555400;6190700;-6.474204e-01;
555500;6190700;0;
555600;6190700;0;
555700;6190700;0;
555800;6190700;-6.071877e+00;
555900;6190700;-5.753078e+00;
556000;6190700;-5.256120e+00;
556100;6190700;-8.600514e+00;
556200;6190700;-1.066349e+01;
556300;6190700;-6.824574e+00;
556400;6190700;-6.909194e+00;
556500;6190700;-1.027329e+01;
556600;6190700;-1.070256e+01;
556700;6190700;-5.557952e+00;
556800;6190700;-3.868344e+00;
556900;6190700;0;
557000;6190700;-3.628102e+00;
557100;6190700;-1.304888e+01;
557200;6190700;-1.470325e+01;
557300;6190700;-9.402456e+00;
557400;6190700;-8.191373e+00;
557500;6190700;-8.232233e+00;
557600;6190700;-5.628504e+00;
557700;6190700;-7.854496e+00;
557800;6190700;-1.143890e+01;
557900;6190700;-1.347225e+01;
558000;6190700;-9.423624e+00;
558100;6190700;-7.288630e+00;
558200;6190700;-7.326784e+00;
558300;6190700;-7.816872e+00;
558400;6190700;-1.301687e+01;
558500;6190700;-1.270751e+01;
558600;6190700;-4.736067e+00;
558700;6190700;-4.466397e+00;
558800;6190700;-3.923753e+00;
558900;6190700;0;
559000;6190700;0;
559100;6190700;-3.612750e+00;
559200;6190700;-5.169112e+00;
559300;6190700;-4.765321e+00;
559400;6190700;-3.388806e+00;
559500;6190700;-8.211638e+00;
559600;6190700;-8.014126e+00;
559700;6190700;-1.460962e+01;
559800;6190700;-6.090778e+00;
559900;6190700;-8.075242e+00;
560000;6190700;-7.008950e+00;
560100;6190700;-1.426803e+01;
560200;6190700;-1.207635e+01;
560300;6190700;-4.818820e+00;
560400;6190700;-3.407952e+00;
560500;6190700;-2.450422e+00;
560600;6190700;-6.159342e+00;
560700;6190700;-2.935807e+00;
560800;6190700;-6.218458e+00;
560900;6190700;-3.776327e+00;
561000;6190700;0;
549000;6190800;1.643659e+01;
549100;6190800;1.665043e+01;
549200;6190800;1.475617e+01;
549300;6190800;1.688118e+01;
549400;6190800;1.752936e+01;
549500;6190800;1.312262e+01;
549600;6190800;8.796961e+00;
549700;6190800;-8.245612e-01;
549800;6190800;9.566465e+00;
549900;6190800;1.823548e+01;
550000;6190800;2.198385e+01;
